GitHub Ticket,Feature Area,User Story,Requirement/Functionality,Notes
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/493,User can request feedback,"Enable employees to quickly request structured feedback from relevant stakeholders (TLs/PMs/Leads/peers) with clear scope, timelines, and visibility.",The system must provide a “Request Feedback” action,
,,,"The Requestor must be able to select Respondents by name or role (TL, PM, Lead) with typeahead from the org directory.",
,,,"The Requestor must be able to define the feedback scope, including: Work period / project / context i.e link roles and experiences from profile",
,,,Specific competencies or goals to be assessed,
,,,Optional free-text context to guide feedback,
,,,"The Requestor must be able to set a due date (with default based on policy, e.g., 7–10 business days).",
,,,The Requestor must be able to set visibility: Default: Requestor + Respondent + direct TL,
,,,"The system must create a task (email + in-app) to Respondents with: Context summary, due date, and Start form link",
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/494,Auto Reminders for Feedback Completion,"Improve completion rates and timeliness through polite, automated nudges","The system must schedule reminders relative to the due date (e.g., T?5 days, T?2 days, Due day, T+2 overdue, T+7 overdue).",
,,,The system must send a reminder to 'Request Feedback' if feedback has not been given in the last 3 months,
,,,Reminders must be sent via email and in-app notifications.,
,,,"Reminders must include: request context, due date, estimated time to complete, “Start/Resume” link.",
,,,The system must escalate overdue reminders to the Requestor’s TL if policy allows (configurable).,
,,,The system must stop reminders upon completion or cancellation.,
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/495,Release 2 - Structured Feedback Form Sent,"Collect consistent, comparable feedback aligned to competencies, goals, and role profiles.",The system must render a structured form when a Respondent opens the request URL. (scyne 360 feedback form),
,,,Time-to-complete indicator and autosave,
,,,The system must validate completeness (required fields) and offer save-as-draft.,
,,,"The system must display visibility and privacy (e.g., “Your name will/will not be visible to the Requestor”).",
,,,The system must support attachments (optional) with file type/size controls,
,,,"The system must log audit events (opened, saved, submitted).",
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/496,Requestor Receives Completed Feedback,"Ensure Requestors promptly receive the insights they asked for, in a usable and privacy-compliant format.","Upon submission, the system must notify the Requestor the completed feedback.",
,,,"The Requestor must be able to view, export (PDF/CSV), and store feedback in their Skills Passport.",
,,,"The system must apply visibility rules (e.g., show/hide Respondent identity, show/hide scores) per the request’s settings and policy.",
,,,The system must support aggregation into the Requestor’s profile timeline (with tags and competencies).,
,,,The system must allow the Requestor to acknowledge receipt,
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/497,Feedback Dashboard and Data Aggregation,"Provide actionable, role?appropriate insight into feedback trends, completion, and competency development.","The system must provide dashboards for: 
Requestor: personal feedback summary, trend over time, strengths/opportunities, completion status by request. 
TL/PM/Lead: team/engagement view of feedback status, heatmaps by competency, distribution of ratings, overdue items
HR/Admin: organisation-level aggregates, completion SLAs, calibration views (no PII where policy restricts).",
,,,"Dashboards must support filters (date range, project, role, team, competency, location).",
,,,"Dashboards must support export (CSV/XLSX, PDF) with applied visibility rules.",
,,,"The analytics engine must aggregate scores and text themes (e.g., topic clustering/keyword frequency where permitted).",
,,,The system must refresh data near real-time (?5 minutes) or on an admin-configurable schedule.,
https://github.com/ScyneAdvisory/scyne-skillpassport-app/issues/498,Stretch/Benchmark Comparisons to Peers,"Help employees contextualise feedback by comparing to meaningful peer benchmarks (e.g., same role/level/discipline).","The system must compute benchmark ranges (e.g., percentile bands) for competencies by cohort definition (role, level, discipline, region).",
,,,"The Requestor dashboard must show comparisons (e.g., “You are at the 65th percentile in Client Impact vs. peers”).",
,,,The system must allow TLs to view peer benchmarks at team level to support coaching and moderation.,
,,,"The system must allow admins to configure cohorts, sample-size thresholds (e.g., N?10 to protect privacy), and smoothing periods.",
,,,,
